loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies
5000,5000,4975, 36 months,10.65%,162.87,B,B2,10+ years,RENT,24000,Verified,Dec-11,Fully Paid,credit_card,860xx,AZ,27.65,0,Jan-85,1,NA,3,0,13648,83.70%,9,0
2500,2500,2500, 60 months,15.27%,59.83,C,C4,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,car,309xx,GA,1,0,Apr-99,5,NA,3,0,1687,9.40%,4,0
2400,2400,2400, 36 months,15.96%,84.33,C,C5,10+ years,RENT,12252,Not Verified,Dec-11,Fully Paid,small_business,606xx,IL,8.72,0,Nov-01,2,NA,2,0,2956,98.50%,10,0
10000,10000,10000, 36 months,13.49%,339.31,C,C1,10+ years,RENT,49200,Source Verified,Dec-11,Fully Paid,other,917xx,CA,20,0,Feb-96,1,35,10,0,5598,21%,37,0
3000,3000,3000, 60 months,12.69%,67.79,B,B5,1 year,RENT,80000,Source Verified,Dec-11,Current,other,972xx,OR,17.94,0,Jan-96,0,38,15,0,27783,53.90%,38,0
5000,5000,5000, 36 months,7.90%,156.46,A,A4,3 years,RENT,36000,Source Verified,Dec-11,Fully Paid,wedding,852xx,AZ,11.2,0,Nov-04,3,NA,9,0,7963,28.30%,12,0
7000,7000,7000, 60 months,15.96%,170.08,C,C5,8 years,RENT,47004,Not Verified,Dec-11,Fully Paid,debt_consolidation,280xx,NC,23.51,0,Jul-05,1,NA,7,0,17726,85.60%,11,0
3000,3000,3000, 36 months,18.64%,109.43,E,E1,9 years,RENT,48000,Source Verified,Dec-11,Fully Paid,car,900xx,CA,5.35,0,Jan-07,2,NA,4,0,8221,87.50%,4,0
5600,5600,5600, 60 months,21.28%,152.39,F,F2,4 years,OWN,40000,Source Verified,Dec-11,Charged Off,small_business,958xx,CA,5.55,0,Apr-04,2,NA,11,0,5210,32.60%,13,0
5375,5375,5350, 60 months,12.69%,121.45,B,B5,< 1 year,RENT,15000,Verified,Dec-11,Charged Off,other,774xx,TX,18.08,0,Sep-04,0,NA,2,0,9279,36.50%,3,0
